_id,top3Products[0].StockCode,top3Products[1].StockCode,top3Products[2].StockCode,top3Products[0].Description,top3Products[1].Description,top3Products[2].Description,top3Products[0].Quantity,top3Products[1].Quantity,top3Products[2].Quantity
12346,23166,,,MEDIUM CERAMIC TOP STORAGE JAR,,,0,,
12347,23076,84558A,22492,ICE CREAM SUNDAE LIP GLOSS,3D DOG PICTURE PLAYING CARDS,MINI PAINT SET VINTAGE ,240,126,108
12348,23077,23078,21983,DOUGHNUT LIP GLOSS ,ICE CREAM PEN LIP GLOSS ,PACK OF 12 BLUE PAISLEY TISSUES ,200,192,144
12349,21232,21231,22704,STRAWBERRY CERAMIC TRINKET POT,SWEETHEART CERAMIC TRINKET BOX,WRAP RED APPLES ,36,36,25
12350,22348,20652,20615,TEA BAG PLATE RED RETROSPOT,BLUE POLKADOT LUGGAGE TAG ,BLUE POLKADOT PASSPORT COVER,24,12,12
12352,84050,23367,23088,PINK HEART SHAPE EGG FRYING PAN,SET 12 COLOUR PENCILS SPACEBOY ,ZINC HEART FLOWER T-LIGHT HOLDER,24,16,16
12353,37446,37450,22890,MINI CAKE STAND WITH HANGING CAKES,CERAMIC CAKE BOWL + HANGING CAKES,NOVELTY BISCUITS CAKE STAND 3 TIER,8,6,4
12354,21244,21240,21243,BLUE POLKADOT PLATE ,BLUE POLKADOT CUP,PINK  POLKADOT PLATE ,32,32,32
12355,23076,23077,22693,ICE CREAM SUNDAE LIP GLOSS,DOUGHNUT LIP GLOSS ,GROW A FLYTRAP OR SUNFLOWER IN TIN,96,60,24
12356,84991,84992,21231,60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,SWEETHEART CERAMIC TRINKET BOX,168,120,72
12357,22969,22632,20676,HOMEMADE JAM SCENTED CANDLES,HAND WARMER RED RETROSPOT,RED RETROSPOT BOWL,96,96,72
12358,22646,15056N,15056BL,CERAMIC STRAWBERRY CAKE MONEY BANK,EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL BLACK,36,36,36
12359,22423,23230,22709,REGENCY CAKESTAND 3 TIER,WRAP ALPHABET DESIGN,WRAP WEDDING DAY,27,25,25
12360,22492,22326,20676,MINI PAINT SET VINTAGE ,ROUND SNACK BOXES SET OF4 WOODLAND ,RED RETROSPOT BOWL,36,24,24
12361,22629,22630,22631,SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,CIRCUS PARADE LUNCH BOX ,12,12,12
12362,22629,22630,22662,SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,LUNCH BAG DOLLY GIRL DESIGN,59,47,40
12363,22952,21121,21976,60 CAKE CASES VINTAGE CHRISTMAS,SET/10 RED POLKADOT PARTY CANDLES,PACK OF 60 MUSHROOM CAKE CASES,36,24,24
12364,23310,22437,22045,BUBBLEGUM RING ASSORTED,SET OF 9 BLACK SKULL BALLOONS,SPACEBOY GIFT WRAP,216,40,25
12365,84987,21356,21355,SET OF 36 TEATIME PAPER DOILIES,TOAST ITS - FAIRY FLOWER,TOAST ITS - I LOVE YOU ,12,12,12
12367,16237,22045,22708,SLEEPING CAT ERASERS,SPACEBOY GIFT WRAP,WRAP DOLLY GIRL,60,25,25
12370,84568,84598,22335,GIRLS ALPHABET IRON ON PATCHES ,BOYS ALPHABET IRON ON PATCHES,HEART DECORATION PAINTED ZINC ,288,288,96
12371,72741,22311,17012D,GRAND CHOCOLATECANDLE,OFFICE MUG WARMER BLACK+SILVER ,ORIGAMI ROSE INCENSE/CANDLE SET ,36,30,24
12372,22556,22629,22551,PLASTERS IN TIN CIRCUS PARADE ,SPACEBOY LUNCH BOX ,PLASTERS IN TIN SPACEBOY,72,48,48
12373,20724,20719,21931,RED RETROSPOT CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,JUMBO STORAGE BAG SUKI,30,20,20
12374,21789,84992,21788,KIDS RAIN MAC PINK,72 SWEETHEART FAIRY CAKE CASES,KIDS RAIN MAC BLUE,24,24,24
12375,23200,20712,23203,JUMBO BAG PEARS,JUMBO BAG WOODLAND ANIMALS,JUMBO BAG VINTAGE DOILY ,40,20,20
12377,22539,22540,22544,MINI JIGSAW DOLLY GIRL,MINI JIGSAW CIRCUS PARADE ,MINI JIGSAW SPACEBOY,48,48,48
12378,84568,21094,21086,GIRLS ALPHABET IRON ON PATCHES ,SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,288,48,48
12379,22740,21212,22554,POLKADOT PEN,PACK OF 72 RETROSPOT CAKE CASES,PLASTERS IN TIN WOODLAND ANIMALS,48,24,12
12380,22326,23084,23480,ROUND SNACK BOXES SET OF4 WOODLAND ,RABBIT NIGHT LIGHT,MINI LIGHTS WOODLAND MUSHROOMS,60,48,48
12381,22492,16169E,22417,MINI PAINT SET VINTAGE ,WRAP 50'S  CHRISTMAS,PACK OF 60 SPACEBOY CAKE CASES,36,25,24
12383,22489,16045,22544,PACK OF 12 TRADITIONAL CRAYONS,POPART WOODEN PENCILS ASST,MINI JIGSAW SPACEBOY,168,100,72
12384,22632,22252,21892,HAND WARMER RED RETROSPOT,BIRDCAGE DECORATION TEALIGHT HOLDER,TRADITIONAL WOODEN CATCH CUP GAME ,12,12,12
12386,22915,21422,21421,ASSORTED BOTTLE TOP  MAGNETS ,PORCELAIN ROSE SMALL,PORCELAIN ROSE LARGE ,120,80,60
12388,22338,23326,84970L,STAR DECORATION PAINTED ZINC ,HANGING MINI COLOURED BOTTLES,SINGLE HEART ZINC T-LIGHT HOLDER,120,96,60
12390,22492,16161U,22045,MINI PAINT SET VINTAGE ,WRAP SUKI AND FRIENDS,SPACEBOY GIFT WRAP,36,25,25
12391,16238,22818,23500,PARTY TIME PENCIL ERASERS,CARD CHRISTMAS VILLAGE,KEY RING BASEBALL BOOT ASSORTED ,28,24,20
12393,20726,22451,20728,LUNCH BAG WOODLAND,SILK PURSE BABUSHKA RED,LUNCH BAG CARS BLUE,60,48,40
12394,23296,23295,23293,SET OF 6 TEA TIME BAKING CASES,SET OF 12 MINI LOAF BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES,256,256,48
12395,22740,21977,21212,POLKADOT PEN,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,144,120,120
12397,22099,22492,22540,CARAVAN SQUARE TISSUE BOX,MINI PAINT SET VINTAGE ,MINI JIGSAW CIRCUS PARADE ,36,36,24
12398,23310,22492,22708,BUBBLEGUM RING ASSORTED,MINI PAINT SET VINTAGE ,WRAP DOLLY GIRL,36,36,25
12399,22492,21976,22417,MINI PAINT SET VINTAGE ,PACK OF 60 MUSHROOM CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,108,72,72
