_id,total_spent,invoice_count,AOV
17329,523.11,2,261.555
15781,333.56,4,83.39
17985,634.95,1,634.95
16612,1187.66,4,296.915
17972,136.04,1,136.04
15414,774.9000000000001,3,258.3
16563,1077.74,1,1077.74
13993,3409.66,12,284.1383333333333
13517,2109.0699999999997,5,421.81399999999996
16897,213.03,3,71.01
18269,138.89999999999998,2,69.44999999999999
12943,-3.75,1,-3.75
12454,0,2,0
13441,296.64,1,296.64
14500,356.85,3,118.95
14847,309.4,1,309.4
18282,176.60000000000002,3,58.866666666666674
13573,294.4,2,147.2
13153,486.22,1,486.22
17603,-1165.3,5,-233.06
16859,473.13999999999993,5,94.62799999999999
18188,1998.49,4,499.6225
14342,607.71,6,101.28500000000001
17065,-112.35,1,-112.35
17265,562.9000000000001,2,281.45000000000005
12614,315.6,1,315.6
13576,6703.3,20,335.165
12649,603.71,4,150.9275
14000,633.7099999999999,2,316.85499999999996
17779,642.17,5,128.434
16297,275.4,4,68.85
12664,4863.88,10,486.38800000000003
17637,547.06,2,273.53
12410,681.0799999999999,3,227.02666666666664
17865,10158.54,27,376.24222222222227
15389,500,1,500
18079,3651.9700000000003,4,912.9925000000001
17628,75.75,1,75.75
16125,289.35,1,289.35
14775,1011.9,3,337.3
18075,2538.7200000000003,14,181.33714285714288
16380,1780.59,1,1780.59
14929,223.88,1,223.88
13951,674.45,3,224.8166666666667
17761,712.78,1,712.78
13835,834.5699999999999,4,208.64249999999998
13507,2479.16,4,619.79
12684,2283.63,7,326.23285714285714
13503,216.85,1,216.85
12852,299.75,2,149.875
16953,20.8,1,20.8
16014,653.13,4,163.2825
14336,1614.91,4,403.7275
15906,1521.79,8,190.22375
12840,2714.27,6,452.37833333333333
12938,114.14,1,114.14
15395,107.45,1,107.45
16298,598.2,3,199.4
14747,294.3,2,147.15
14032,2929.84,18,162.7688888888889
17852,114.34,2,57.17
16425,302.7,1,302.7
14959,684.97,5,136.994
16526,290.36,1,290.36
17070,312.14,1,312.14
13841,85,1,85
15026,469,3,156.33333333333334
15301,5028.12,14,359.15142857142854
13649,346.6,2,173.3
14048,375.13,2,187.565
13681,827.83,4,206.9575
16212,681.19,3,227.06333333333336
12952,1382.84,5,276.568
17043,1735.18,4,433.795
16905,3085.48,8,385.685
18073,3864.44,13,297.2646153846154
16224,1295.3000000000002,4,323.82500000000005
12623,305.1,1,305.1
13666,84.65,3,28.21666666666667
12999,455.88,3,151.96
18250,342.91999999999996,2,171.45999999999998
16792,110.38000000000001,2,55.190000000000005
13477,1441.53,8,180.19125
18005,249.72,2,124.86
13600,219.52,1,219.52
14561,1080.76,3,360.25333333333333
16384,584.5,2,292.25
16190,215.08,1,215.08
14578,168.63,1,168.63
13930,337.34,2,168.67
12895,347.3,3,115.76666666666667
17523,652.74,4,163.185
13104,1098.48,6,183.08
12357,6207.67,1,6207.67
17802,1251.8400000000001,4,312.96000000000004
15689,254.1,2,127.05
14722,187.92000000000002,1,187.92000000000002
15222,585,1,585
15850,238.85,2,119.425
17521,721.96,4,180.49
14090,76.32000000000001,1,76.32000000000001
15622,3224.53,16,201.533125
17030,146.87,1,146.87
17026,154.82999999999998,2,77.41499999999999
13638,122.64,1,122.64
16515,1627.13,5,325.42600000000004
14236,490.86,2,245.43
14046,154.99,1,154.99
12399,1108.65,4,277.1625
17560,854.95,5,170.99
12471,18740.92,49,382.46775510204077
18024,236.77999999999997,3,78.92666666666666
12844,325.96000000000004,2,162.98000000000002
14345,108.97999999999999,1,108.97999999999999
16794,1201.51,12,100.12583333333333
13568,192.85,1,192.85
16775,1695.6599999999999,11,154.15090909090907
15606,2422.64,11,220.23999999999998
15187,4670.08,18,259.44888888888886
15723,203.1,1,203.1
14393,67.95,1,67.95
12683,8221.09,20,411.0545
12451,8933.52,6,1488.92
13394,2312.8,10,231.28000000000003
15006,502.09,1,502.09
16283,1531.51,7,218.78714285714287
16249,1800.0700000000002,5,360.014
12878,841.64,3,280.5466666666667
14673,1736.4,5,347.28000000000003
16572,999.7,4,249.925
14364,3717.35,8,464.66875
13515,891.12,4,222.78
16469,650.4300000000001,4,162.60750000000002
17448,-4287.63,1,-4287.63
14248,302.58,1,302.58
12901,16293.1,36,452.5861111111111
16839,15357.78,39,393.7892307692308
14868,2939.6400000000003,9,326.6266666666667
17809,4627.62,15,308.508
13918,1212.84,2,606.42
16759,772.84,4,193.21
14641,110.46,1,110.46
15262,178.95000000000002,1,178.95000000000002
15944,325.1,1,325.1
13663,189.47,1,189.47
16956,292.34000000000003,2,146.17000000000002
17531,293.45,2,146.725
15970,314.1,1,314.1
15147,608.65,2,304.325
16347,887.6500000000001,2,443.82500000000005
15854,2974.65,12,247.88750000000002
16287,142.5,1,142.5
18287,1837.2799999999997,3,612.4266666666666
13549,916.12,8,114.515
15468,438.46000000000004,5,87.69200000000001
18095,580.05,2,290.025
17561,167.62,1,167.62
16326,3085.96,15,205.73066666666668
15400,666.7,6,111.11666666666667
18233,440,1,440
12360,2662.06,3,887.3533333333334
13753,741.26,1,741.26
16805,460.59000000000003,2,230.29500000000002
17359,127.86,1,127.86
13002,120.94999999999999,1,120.94999999999999
14157,400.43,3,133.47666666666666
12401,84.3,1,84.3
15002,1641.76,4,410.44
12728,836.3299999999999,4,209.08249999999998
15669,677.69,5,135.538
18143,1000.1600000000001,2,500.08000000000004
15661,309.8,2,154.9
16317,1341.65,3,447.2166666666667
15681,946.36,6,157.72666666666666
17767,271.2,1,271.2
15664,358.63,2,179.315
17941,304.56,1,304.56
15834,2084.8999999999996,6,347.4833333333333
16918,1043.3400000000001,7,149.04857142857145
17226,393.49,1,393.49
17179,711.79,3,237.26333333333332
17623,527.0500000000001,1,527.0500000000001
14390,4592.47,13,353.2669230769231
18004,169.47,1,169.47
13381,3626.81,7,518.1157142857143
13301,618.09,4,154.5225
16891,809.7,5,161.94
16751,1764.72,1,1764.72
16383,668.3599999999999,2,334.17999999999995
15923,127.08,1,127.08
15919,639.89,2,319.945
13375,772.9,2,386.45
15683,193.75,1,193.75
15287,485.24,3,161.74666666666667
16717,3278.36,9,364.26222222222225
13853,1056.94,2,528.47
13908,2347.05,5,469.41
14477,1307.81,5,261.562
13038,908.46,3,302.82
16644,833.78,2,416.89
17004,1412.94,2,706.47
15858,1438.8500000000001,5,287.77000000000004
16356,210.32,4,52.58
17973,337.04,1,337.04
12757,4227.7,19,222.51052631578946
16073,94.35,2,47.175
15897,222.05,2,111.025
14912,841.52,3,280.50666666666666
14231,822.06,5,164.41199999999998
13291,361.11,1,361.11
15604,216.39,1,216.39
14889,135.9,1,135.9
16904,3754.27,16,234.641875
12867,3986.2200000000003,10,398.622
13751,296.25,1,296.25
16348,1469.4499999999998,7,209.92142857142855
13449,291.88,1,291.88
17649,861.74,2,430.87
